vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,pickup_location,dropoff_location,store_and_fwd_flag
VTS,2013-05-08T04:00:00.000,2013-05-08T04:06:00.000,1,1.98,-73.981250000000003,40.763347000000003,1,-73.983197000000004,40.743682,CSH,8,0.5,0.5,0,0,9,"{'type': 'Point', 'coordinates': [-73.98125, 40.763347]}","{'type': 'Point', 'coordinates': [-73.983197, 40.743682]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:06:00.000,1,2.5299999999999998,-74.004158000000004,40.739576999999997,1,-73.987071999999998,40.766191999999997,CRD,9,0.5,0.5,1.8999999999999999,0,11.9,"{'type': 'Point', 'coordinates': [-74.004158, 40.739577]}","{'type': 'Point', 'coordinates': [-73.987072, 40.766192]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:06:00.000,5,0.96999999999999997,-73.992054999999993,40.721732000000003,1,-73.980840000000001,40.728917000000003,CRD,6,0.5,0.5,1.3,0,8.3000000000000007,"{'type': 'Point', 'coordinates': [-73.992055, 40.721732]}","{'type': 'Point', 'coordinates': [-73.98084, 40.728917]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:07:00.000,2,2.54,-73.980507000000003,40.734197000000002,1,-73.967641999999998,40.763204999999999,CSH,9.5,0.5,0.5,0,0,10.5,"{'type': 'Point', 'coordinates': [-73.980507, 40.734197]}","{'type': 'Point', 'coordinates': [-73.967642, 40.763205]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:01:00.000,1,0.63,-73.986130000000003,40.756101999999998,1,-73.991077000000004,40.749741999999998,CSH,4,0.5,0.5,0,0,5,"{'type': 'Point', 'coordinates': [-73.98613, 40.756102]}","{'type': 'Point', 'coordinates': [-73.991077, 40.749742]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:07:00.000,1,1.47,-73.971806999999998,40.762436999999998,1,-73.989149999999995,40.774312000000002,CRD,7.5,0.5,0.5,1.5,0,10,"{'type': 'Point', 'coordinates': [-73.971807, 40.762437]}","{'type': 'Point', 'coordinates': [-73.98915, 40.774312]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:07:00.000,5,3.2000000000000002,-73.983431999999993,40.747062,1,-73.951255000000003,40.779809999999998,CSH,10.5,0.5,0.5,0,0,11.5,"{'type': 'Point', 'coordinates': [-73.983432, 40.747062]}","{'type': 'Point', 'coordinates': [-73.951255, 40.77981]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:21:00.000,1,8.5099999999999998,-74.007054999999994,40.729537000000001,1,-73.945587000000003,40.820312000000001,CSH,26.5,0.5,0.5,0,0,27.5,"{'type': 'Point', 'coordinates': [-74.007055, 40.729537]}","{'type': 'Point', 'coordinates': [-73.945587, 40.820312]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:06:00.000,5,1.3799999999999999,-73.987252999999995,40.765816999999998,1,-73.991337000000001,40.750501999999997,CSH,6.5,0.5,0.5,0,0,7.5,"{'type': 'Point', 'coordinates': [-73.987253, 40.765817]}","{'type': 'Point', 'coordinates': [-73.991337, 40.750502]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:03:00.000,1,0.34999999999999998,-74.006268000000006,40.743944999999997,1,-74.004005000000006,40.742212000000002,CSH,4,0.5,0.5,0,0,5,"{'type': 'Point', 'coordinates': [-74.006268, 40.743945]}","{'type': 'Point', 'coordinates': [-74.004005, 40.742212]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:04:00.000,1,0.57999999999999996,-73.994649999999993,40.720542000000002,1,-73.988941999999994,40.722957000000001,CRD,5,0.5,0.5,0.5,0,6.5,"{'type': 'Point', 'coordinates': [-73.99465, 40.720542]}","{'type': 'Point', 'coordinates': [-73.988942, 40.722957]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:04:00.000,1,1.5,-73.954414999999997,40.769922000000001,1,-73.943325000000002,40.788592000000001,CSH,6.5,0.5,0.5,0,0,7.5,"{'type': 'Point', 'coordinates': [-73.954415, 40.769922]}","{'type': 'Point', 'coordinates': [-73.943325, 40.788592]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:10:00.000,1,2.1200000000000001,-73.98603,40.724017000000003,1,-74.009983000000005,40.710802000000001,CRD,9.5,0.5,0.5,3,0,13.5,"{'type': 'Point', 'coordinates': [-73.98603, 40.724017]}","{'type': 'Point', 'coordinates': [-74.009983, 40.710802]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:07:00.000,1,2.1099999999999999,-74.004862000000003,40.741019999999999,1,-73.990089999999995,40.752662000000001,CRD,8.5,0.5,0.5,0,0,9.5,"{'type': 'Point', 'coordinates': [-74.004862, 40.74102]}","{'type': 'Point', 'coordinates': [-73.99009, 40.752662]}",
