Row_Number,tpep_pickup_seconds,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
0,14400.0,989444.0754092201,217385.18929123422,988906.0969467695,210220.48330866883
1,14400.0,986290.3836983534,215590.38018462164,986630.0470162553,212613.08638470122
2,14400.0,982541.684859698,210235.76312564255,988800.7621824252,210418.29555724433
3,14400.0,984424.5979844081,206671.44722233823,982669.1564830913,210329.38778634495
4,14400.0,993052.7090136426,214528.03971760406,986679.3535121677,212735.87123421248
5,14400.0,988248.3824018931,202767.9678480751,986809.5422279845,199918.7077396665
6,14400.0,987682.9516400269,216306.45100865496,992684.0446256323,216662.8983102935
7,14400.0,988227.3625405757,209253.06161233687,983243.5506693969,209611.6234260754
8,14400.0,988114.8495258504,211032.8046727759,987355.3000939594,211393.01999297112
9,14400.0,982902.6901149169,209250.22283082706,986995.6824134284,213491.89448505742
10,14400.0,988122.2176802448,203055.76879406342,981482.3540089525,198240.98924133647
11,14400.0,984073.2175051571,211148.35519812012,996089.30635,217102.61322445833
12,14400.0,985732.9953385915,201789.45575243668,987315.115550077,202669.46276927274
13,14400.0,996876.58906474,219783.40892657312,999944.0068228788,226587.31242122824
14,14400.0,986452.2780520302,202223.06393266408,989560.3962411555,204841.26276501507
15,14400.0,989652.2626307633,206764.95218283017,993213.7465535785,217334.55370912468
16,14400.0,988092.6486777269,214745.34700286062,986722.3307882582,212428.01484386183
17,14400.0,992060.0569252429,217054.3472898374,987255.1434992809,221379.7332601227
18,14400.0,983097.7507539865,208724.48212595546,987831.1274063827,218421.42504193806
19,14400.0,982294.6504608883,205066.64605344943,999310.4524804909,238143.6265095085
20,14400.0,987781.0092884346,218284.79279605922,986650.2641799571,212704.90009915287
21,14400.0,982513.149401323,210315.9181676834,983140.1934281798,209684.49429278594
22,14400.0,988840.7457353147,211451.91295466275,997749.8726810522,223386.40978443203
23,14401.0,982370.4457942804,210340.33903578785,986218.5805059804,209379.60303901965
24,14402.0,983144.8987439864,209564.26458321518,985495.7019727395,202064.51212920458
25,14409.0,982492.9141754122,210218.2786764191,982238.8863372339,197704.25639812447
26,14411.0,988915.4988688506,218968.47332555347,989257.0844872668,217405.55263083373
27,14412.0,981441.7418539593,199464.77949457496,981659.5349658836,195896.8698371535
28,14417.0,985154.8144041877,207921.12042050753,995947.7249364437,231510.13308544792
29,14419.0,995036.7231596869,220627.0459982779,992083.1051884306,216882.3895996479
30,14423.0,987936.0010729578,211859.0819769896,985762.4413705145,214117.34503034412
31,14428.0,981481.2050926755,205183.31117195718,982095.6678364394,195882.25403787591
32,14446.0,991030.6029072567,214235.19584505167,981008.6287104232,198771.87708051148
33,14456.0,987446.1809576901,217728.77419821097,989833.1821214438,213014.741684303
34,14460.0,988711.5378028948,205890.36583510475,989908.3869018195,200611.4600950584
35,14460.0,983340.6695966483,213129.24554212773,985793.2767251758,212823.2384579081
36,14460.0,985042.1150073506,205143.089780838,982855.4188645803,206421.19099753565
37,14460.0,982633.2472615408,203711.30954119473,1000847.964001804,234914.79181756807
38,14460.0,985519.7366689872,214209.50722902748,986079.177520451,216961.3475224386
39,14460.0,989433.9671733772,223205.41262814822,988885.0530038624,204332.88254419583
40,14460.0,987140.9193039533,203709.60616496587,988766.8998797626,201784.36562570426
41,14460.0,987870.508417038,205108.73535254874,984839.0748948602,200359.41990040863
42,14460.0,986958.7786050655,216463.0224626085,987430.4068894925,204921.0431615511
43,14460.0,991589.9386101547,214350.85196299996,992719.5637269145,229977.49089027135
44,14460.0,990564.3240713571,209967.64737563505,989376.6400454913,208772.3592547144
45,14460.0,987619.2827083715,211970.15724479803,982590.6459301007,196818.17895712965
46,14460.0,982408.1423711396,210488.98356742918,985019.8550480407,199157.134469221
47,14460.0,988041.8759899557,208118.1387618707,992682.5580312508,215360.40824024245
48,14460.0,983332.7798638828,209638.94477561276,981317.8111585061,199361.32430665012
49,14460.0,993193.0753386366,214794.05379676007,996086.4491424436,218416.7610356573
50,14460.0,982679.8186450452,203807.85419710827,982608.1261417847,209312.17736588555
51,14460.0,981683.0288803874,200448.08075448888,984273.555204024,208389.26967027958
52,14460.0,982474.0749489218,206478.41592230307,987301.5454705666,215799.97755631973
53,14460.0,987302.280809357,205544.03305670997,985607.6563074413,212535.40489694913
54,14469.0,982760.20908841,203978.35604312018,994031.648901631,217661.31196187797
55,14471.0,984489.1932367024,204467.60811789692,992275.2722814471,227192.73010087057
56,14474.0,998053.0750703175,223486.0435530155,985243.701198391,216409.33470591484
57,14476.0,986418.8282582746,204315.777751081,982742.5572642762,196450.195711677
58,14476.0,987243.8646985333,216265.22326309717,990047.3525745388,210705.29052352632
59,14481.0,987590.1773820969,201986.37880266135,995096.3751353286,216062.70750265633
60,14483.0,989422.5824861795,219447.30995084372,981234.1821536551,195640.06632828902
61,14485.0,984207.0465190202,208460.67869706132,984281.312382732,210081.22631494678
62,14490.0,991276.918840536,203651.42928867927,981866.6509143312,198729.5153971508
63,14496.0,983493.3274132995,204062.1182627646,980499.6162133794,195061.2484717311
64,14500.0,982564.9573033443,210180.01872040154,991194.0754284086,212259.83215462373
65,14505.0,987995.1579441053,216346.2094554781,988194.905173312,212881.07449076438
66,14506.0,995915.7259909844,221479.62878987234,998789.4435079314,220310.57716918172
67,14507.0,990263.2997856383,218163.9580745366,991374.356790501,215415.00316033987
68,14509.0,989024.1682118415,217125.33367922893,985762.9413086689,214986.27809375725
69,14513.0,993140.9906879637,217062.00591918905,986047.3653576119,201378.14763178816
70,14513.0,984057.9773668534,211114.4724364238,984376.6436810553,208423.88149416546
71,14515.0,983080.2327265585,213235.27739943378,986162.2190222779,210755.67999201972
72,14519.0,989244.5671053508,223038.50802016055,989204.6049476706,219366.01815121924
73,14520.0,984127.2148973322,204252.28758699598,991171.3378104374,217177.95071640838
74,14520.0,985269.3107647268,200281.10308562254,985920.2784453017,211313.09010198264
75,14520.0,992265.0156417468,214649.81818936567,996939.1974230463,226121.02816543553
76,14520.0,984485.5902036807,204456.31381902547,993221.8102407182,219500.5169675503
77,14520.0,985767.4689671213,204602.09253617405,996283.264940304,220923.4709868496
78,14520.0,981399.3886997558,204713.33345146407,989915.299467317,204251.1265937447
79,14520.0,979940.303162364,197876.15504652276,990713.7512978101,208667.02228088473
80,14520.0,982502.0825326404,210552.73470866706,984097.0387635048,209822.18683237064
81,14520.0,985874.9956680647,213070.26107512426,989501.5424438289,218090.18598161006
82,14520.0,984260.2534205195,208439.5474262654,988515.4888561423,201754.44503980933
83,14520.0,992419.792218757,213281.8014757076,989514.0593282357,211466.6229259846
84,14520.0,987218.5828539742,210059.1835774117,987694.6128782284,208314.0974071503
85,14520.0,991365.4851839548,211656.54776174476,988337.0022347817,216404.19353234256
86,14520.0,989735.259858242,215986.21530414163,985277.4735026363,203911.65950103555
87,14520.0,986574.1230014897,217934.15881005707,997223.3057165758,235454.713227709
88,14520.0,989279.2968361423,221168.75497732067,1001655.9234267018,249658.2532234281
89,14520.0,989805.6612741501,202515.06429239016,988708.0840587609,205077.90655428407
90,14520.0,982107.3727574551,209125.31421547095,987393.082781267,204206.94934053437
91,14520.0,989076.0298214096,205680.94507243313,988871.9433298596,222226.334318693
92,14520.0,982668.6004595922,210301.33426619723,982931.8421765402,200062.51916499707
93,14522.0,988198.606401001,217378.7610038269,989777.8484626466,216313.39577748286
94,14522.0,981013.9414532869,197031.83529228586,988263.0860305259,219449.27647285722
95,14522.0,986781.2938684258,207628.3129699819,988404.9358109966,203093.34161076558
96,14523.0,984343.977886056,199554.6069121155,985875.2515621467,200967.89920031876
97,14524.0,981390.5661586486,205109.3624481985,984700.2963067024,209670.62849016945
98,14526.0,988629.9347555594,214241.2018365294,985148.972327599,216007.83632185173
99,14527.0,988227.3524518566,209314.63367798313,991423.8260485682,208324.38565034317
100,14529.0,982590.7319747468,210244.50368866982,1001830.6425415074,249065.2368188973
101,14530.0,987194.2558481444,207297.1822078205,988865.2174100546,210988.12291495074
102,14533.0,987058.0488607907,203671.34168605108,995376.8177965656,220104.38114702652
103,14534.0,983839.5012714003,203424.53071436365,989887.059436433,213663.99437137617
104,14535.0,982011.2254669623,209238.6300642021,998294.353682068,232951.59580191196
105,14537.0,990653.4393341228,214591.41058416042,992897.5164908605,216207.9217688622
106,14548.0,988739.9815661222,216929.63267779947,988306.8303697857,217916.16998045935
107,14555.0,989535.6607374368,205154.58217104804,986332.9635344543,206882.8481698514
108,14556.0,989606.4871479293,218279.662106566,987409.1253328393,217235.82687833352
109,14561.0,983099.4504757706,209505.60927665242,994199.5688992883,220243.04518153425
110,14566.0,982840.8466815123,198874.44279696443,994455.1192982194,220496.363032645
111,14570.0,984365.5674610323,206624.44812074347,1001651.9518591926,249410.13606400831
112,14570.0,983896.6749623525,208596.94126689044,997176.191960693,238155.5108065439
113,14571.0,987746.500727746,211701.6624657252,985569.0739095276,198507.9214447117
114,14576.0,991562.8018120991,213383.90551548157,997205.3791811841,235330.8294827562
115,14576.0,987762.163842083,218346.72668184794,992996.5269575149,214364.06977241553
116,14578.0,986790.1649814296,212895.46010812282,995402.5343171833,220198.39096381594
117,14578.0,982532.2601172514,210188.0363136777,985896.4231691748,203521.49509930736
118,14579.0,989412.2536567443,221125.42721673203,986944.8228757366,204923.89905656027
119,14580.0,985150.669851086,207588.8499015882,988979.4918555247,206139.983500802
120,14580.0,982671.3682903784,210252.87794394695,986896.6403126942,207069.8051039348
121,14580.0,986449.3635749556,203796.97310939324,986227.4064921447,199680.01690865305
122,14580.0,982688.9671127852,203835.54276308167,982961.9684990734,203589.2390006748
123,14580.0,987354.9959241241,215935.88043431193,997490.4581204568,239455.26807396914
124,14580.0,987845.0308341681,216192.80265768655,988992.9768633079,217969.8513479943
125,14580.0,984974.4043046247,217253.48436500775,991974.5432095953,211562.00760823814
126,14580.0,990883.5258742053,209025.93481214164,987334.7147621138,212030.23421362843
