vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,pickup_location,dropoff_location,store_and_fwd_flag,tpep_pickup_seconds,pickup_longitude2,pickup_latitude2,dropoff_longitude2,dropoff_latitude2
VTS,2013-05-08 04:00:00,2013-05-08 04:06:00,1,1.98,-73.98125,40.763347,1,-73.983197,40.743682,CSH,8.0,0.5,0.5,0.0,0,9.0,"{'type': 'Point', 'coordinates': [-73.98125, 40.763347]}","{'type': 'Point', 'coordinates': [-73.983197, 40.743682]}",,14400.0,989444.0754092201,217385.18929123422,988906.0969467695,210220.48330866883
VTS,2013-05-08 04:00:00,2013-05-08 04:03:00,1,0.81,-73.992635,40.758422,1,-73.99141,40.75025,CSH,4.5,0.5,0.5,0.0,0,5.5,"{'type': 'Point', 'coordinates': [-73.992635, 40.758422]}","{'type': 'Point', 'coordinates': [-73.99141, 40.75025]}",,14400.0,986290.3836983534,215590.38018462164,986630.0470162553,212613.08638470122
VTS,2013-05-08 04:00:00,2013-05-08 04:09:00,1,1.75,-74.00616499999998,40.743725,1,-73.98357699999998,40.744225,CRD,8.5,0.5,0.5,1.8,0,11.3,"{'type': 'Point', 'coordinates': [-74.006165, 40.743725]}","{'type': 'Point', 'coordinates': [-73.983577, 40.744225]}",,14400.0,982541.684859698,210235.76312564255,988800.7621824252,210418.29555724433
VTS,2013-05-08 04:00:00,2013-05-08 04:06:00,6,1.05,-73.99937,40.733942,1,-74.005705,40.743982,CRD,6.5,0.5,0.5,1.75,0,9.25,"{'type': 'Point', 'coordinates': [-73.99937, 40.733942]}","{'type': 'Point', 'coordinates': [-74.005705, 40.743982]}",,14400.0,984424.5979844081,206671.44722233823,982669.1564830913,210329.38778634495
VTS,2013-05-08 04:00:00,2013-05-08 04:07:00,5,1.8,-73.968227,40.755502,1,-73.99123199999998,40.750587,CSH,8.5,0.5,0.5,0.0,0,9.5,"{'type': 'Point', 'coordinates': [-73.968227, 40.755502]}","{'type': 'Point', 'coordinates': [-73.991232, 40.750587]}",,14400.0,993052.7090136426,214528.03971760406,986679.3535121677,212735.87123421248
VTS,2013-05-08 04:00:00,2013-05-08 04:05:00,5,0.65,-73.98557499999998,40.723227,1,-73.990767,40.715407,CSH,5.0,0.5,0.5,0.0,0,6.0,"{'type': 'Point', 'coordinates': [-73.985575, 40.723227]}","{'type': 'Point', 'coordinates': [-73.990767, 40.715407]}",,14400.0,988248.3824018931,202767.9678480751,986809.5422279845,199918.7077396665
VTS,2013-05-08 04:00:00,2013-05-08 04:13:00,2,1.38,-73.98760799999998,40.760387,1,-73.969555,40.761362,CSH,10.0,0.5,0.5,0.0,0,11.0,"{'type': 'Point', 'coordinates': [-73.987608, 40.760387]}","{'type': 'Point', 'coordinates': [-73.969555, 40.761362]}",,14400.0,987682.9516400269,216306.45100865496,992684.0446256323,216662.8983102935
VTS,2013-05-08 04:00:00,2013-05-08 04:09:00,5,1.54,-73.985647,40.741027,1,-74.00363199999998,40.742012,CSH,8.5,0.5,0.5,0.0,0,9.5,"{'type': 'Point', 'coordinates': [-73.985647, 40.741027]}","{'type': 'Point', 'coordinates': [-74.003632, 40.742012]}",,14400.0,988227.3625405757,209253.06161233687,983243.5506693969,209611.6234260754
CMT,2013-05-08 04:00:00,2013-05-08 04:04:09,1,0.5,-73.986052,40.745912,1,-73.988793,40.746901,CSH,4.5,0.5,0.5,0.0,0,5.5,"{'type': 'Point', 'coordinates': [-73.986052, 40.745912]}","{'type': 'Point', 'coordinates': [-73.988793, 40.746901]}",N,14400.0,988114.8495258504,211032.8046727759,987355.3000939594,211393.01999297112
VTS,2013-05-08 04:00:00,2013-05-08 04:07:00,1,2.11,-74.004862,40.74102,1,-73.99008999999998,40.752662,CRD,8.5,0.5,0.5,0.0,0,9.5,"{'type': 'Point', 'coordinates': [-74.004862, 40.74102]}","{'type': 'Point', 'coordinates': [-73.99009, 40.752662]}",,14400.0,982902.6901149169,209250.22283082706,986995.6824134284,213491.89448505742
VTS,2013-05-08 04:00:00,2013-05-08 04:10:00,1,2.12,-73.98603,40.724017,1,-74.009983,40.710802,CRD,9.5,0.5,0.5,3.0,0,13.5,"{'type': 'Point', 'coordinates': [-73.98603, 40.724017]}","{'type': 'Point', 'coordinates': [-74.009983, 40.710802]}",,14400.0,988122.2176802448,203055.76879406342,981482.3540089525,198240.98924133647
VTS,2013-05-08 04:00:00,2013-05-08 04:11:00,2,3.51,-74.00063799999998,40.74623,1,-73.957262,40.762565,CSH,12.5,0.5,0.5,0.0,0,13.5,"{'type': 'Point', 'coordinates': [-74.000638, 40.74623]}","{'type': 'Point', 'coordinates': [-73.957262, 40.762565]}",,14400.0,984073.2175051571,211148.35519812012,996089.30635,217102.61322445833
VTS,2013-05-08 04:00:00,2013-05-08 04:04:00,1,0.5799999999999998,-73.99464999999998,40.720542,1,-73.98894199999998,40.722957,CRD,5.0,0.5,0.5,0.5,0,6.5,"{'type': 'Point', 'coordinates': [-73.99465, 40.720542]}","{'type': 'Point', 'coordinates': [-73.988942, 40.722957]}",,14400.0,985732.9953385915,201789.45575243668,987315.115550077,202669.46276927274
VTS,2013-05-08 04:00:00,2013-05-08 04:04:00,1,1.5,-73.95441499999998,40.769922,1,-73.943325,40.788592,CSH,6.5,0.5,0.5,0.0,0,7.5,"{'type': 'Point', 'coordinates': [-73.954415, 40.769922]}","{'type': 'Point', 'coordinates': [-73.943325, 40.788592]}",,14400.0,996876.58906474,219783.40892657312,999944.0068228788,226587.31242122824
VTS,2013-05-08 04:00:00,2013-05-08 04:06:00,5,0.97,-73.99205499999998,40.721732,1,-73.98084,40.728917,CRD,6.0,0.5,0.5,1.3,0,8.3,"{'type': 'Point', 'coordinates': [-73.992055, 40.721732]}","{'type': 'Point', 'coordinates': [-73.98084, 40.728917]}",,14400.0,986452.2780520302,202223.06393266408,989560.3962411555,204841.26276501507
VTS,2013-05-08 04:00:00,2013-05-08 04:07:00,2,2.54,-73.980507,40.734197,1,-73.967642,40.763205,CSH,9.5,0.5,0.5,0.0,0,10.5,"{'type': 'Point', 'coordinates': [-73.980507, 40.734197]}","{'type': 'Point', 'coordinates': [-73.967642, 40.763205]}",,14400.0,989652.2626307633,206764.95218283017,993213.7465535785,217334.55370912468
